cities,x,y
Adana,0,-140
Adıyaman,150,-100
Afyonkarahisar,-325,0
Ağrı,500,60
Aksaray,-125,-40
Amasya,25,160
Ankara,-200,100
Antalya,-300,-160
Ardahan,490,200
Artvin,425,200
Aydın,-525,-100
Balıkesir,-525,70
Bartın,-210,250
Batman,390,-100
Bayburt,325,120
Bilecik,-375,120
Bingöl,350,20
Bitlis,450,-40
Bolu,-250,160
Burdur,-375,-120
Bursa,-450,110
Çanakkale,-600,100
Çankırı,-150,160
Çorum,-50,140
Denizli,-440,-100
Diyarbakır,325,-60
Düzce,-300,180
Edirne,-610,260
Elazığ,250,-20
Erzincan,250,70
Erzurum,400,100
Eskişehir,-300,80
Gaziantep,100,-150
Giresun,200,160
Gümüşhane,250,140
Hakkari,575,-120
Hatay,50,-200
Iğdır,550,90
Isparta,-350,-80
Istanbul,-450,200
Izmir,-550,-60
Kahramanmaraş,75,-80
Karabük,-200,200
Karaman,-150,-140
Kars,500,140
Kastamonu,-150,240
Kayseri,0,-20
Kırıkkale,-125,100
Kırklareli,-550,260
Kırşehir,-100,40
Kilis,100,-180
Kocaeli,-400,180
Konya,-250,-60
Kütahya,-400,40
Malatya,150,-40
Manisa,-500,0
Mersin,-125,-180
Muğla,-500,-160
Muş,400,10
Nevşehir,-50,0
Niğde,-50,-80
Ordu,100,180
Osmaniye,50,-140
Rize,350,180
Sakarya,-350,180
Samsun,25,220
Siirt,425,-80
Sinop,-50,260
Sivas,100,80
Şanlıurfa,225,-140
Şırnak,475,-120
Tekirdağ,-550,200
Tokat,50,140
Trabzon,260,180
Tunceli,250,30
Uşak,-450,-20
Van,550,-20
Yalova,-450,160
Yozgat,-25,80
Zonguldak,-250,220