tr,ru
bir,Один
ve,И
olmak,быть
bu,Этот 
için,для  
o,он
ben,я
demek,означает
çok,Много
yapmak,делать
ne,Что
gibi,нравиться
daha,более
almak,брать  
var,есть
kendi,собственный
gelmek,приходить
ile,с
vermek,давать
ama,Но
sonra,позже
kadar,много
yer,место
en,-большинство
insan,человек 
değil,нет
her,каждый
istemek,хотеть
yıl,год
çıkmak,Покинуть
görmek,чтобы увидеть
gün,день
biz,Мы
gitmek,идти
iş,работа
şey,вещь
ara,Поиск
ki,что
bilmek,знать
el,рука
zaman,время
ya,или
çocuk,ребенок
iki,два
bakmak,смотреть 
çalışmak,работать
içinde,внутри
büyük,большой
yok,нет
başlamak,начать
yol,путь
kalmak,оставаться
neden,Откуда
siz,ты
konu,Предмет
yapılmak,быть сделано
iyi,Хороший
kadın,Женщина
ev,дом
ise,тогда как
diye,говоря
bulunmak,иметь
söylemek,сказать
göz,ресница
gerekmek,нуждаться
dünya,Мир
baş,голова
durum,ситуация
yan,сторона
geçmek,пройти мимо
sen,ты
onlar,их
yeni,новый
önce,до
başka,Другой
hal,положение дел
orta,середина
su,Этот
girmek,войти
ülke,страна
yemek,еда
hiç,никто
bile,даже    
nasıl,Как
bütün,все
karşı,противоположный
bulmak,найти
böyle,так
yaşamak,жить
düşünmek,думать
aynı,такой же
iç,напиток
ancak,однако
kişi,человек
bunlar,эти
veya,или 
ilk,первый
göre,в соответствии с
ön,передний
son,конец
biri,кто-то
şekil,форма
önemli,важный
yüz,лицо
hem,оба
göstermek,показывать
etmek,делать
alt,ниже
getirmek,принести
kullanmak,использовать
çünkü,Потому что
taraf,сторона
şimdi,Сейчас
adam,мужчина
onun,ее
diğer,другой
artık,Сейчас
üzerinde,на
ses,звук
hep,всегда
DOĞRU,истинный
durmak,останавливаться
kız,девочка
tüm,все
çekmek,тянуть
konuşmak,говорить
para,деньги
anlamak,понимать
anne,мама
az,маленький
bazı,некоторый
baba,отец
hayat,жизнь
sadece,Только
küçük,Маленький
fazla,более
bilgi,информация
an,момент
sormak,спрашивать
bunun,этот
öyle,как это
yine,снова
sağlamak,для обеспечения
sonuç,заключение
kullanılmak,быть использованным
dış,внешний
ad,имя
yani,хорошо
süre,продолжительность
dönmek,возвращаться
açmak,открыть
oturmak,сидеть
anlatmak,объяснить
bırakmak,Покинуть
hemen,немедленно
saat,час
yaş,возраст
sorun,проблема
devlet,состояние
sahip,владелец
sıra,заказ 
yazmak,написать
yüzde,процент
ay,луна
atmak,бросать
tutmak,держать
bunu,этот
olay,событие
düşmek,падать
duymak,слушать
söz,обещать
güzel,Красивый
sevmek,любить
biraz,Немного
zor,трудный
çıkarmak,вычесть
şu,Этот
koymak,класть
tek,только
sistem,система
birlikte,вместе
verilmek,быть отданным
kim,ВОЗ
alınmak,быть взятым
genç,молодость
kapı,дверь
kitap,книга
üzerine,над
burada,Здесь
gece,ночь
alan,область
birbiri,друг друга
işte,на работе
beklemek,ждать
uzun,ДЛИННЫЙ
hiçbir,нет
bugün,Сегодня
dönem,период
arkadaş,друг
ürün,продукт
aile,семья
üç,летать
okumak,читать
erkek,Мужской
herkes,каждый
güç,сила
belki,может быть
gerçek,настоящий
tam,полный
ilgili,относящийся к
ilişki,отношение
çevre,среда
eski,старый
aramak,звонить
yaşam,жизнь
halk,люди
yakın,закрывать
sokak,улица
bey,джентльмен
tarih,история
özellik,особенность
bölüm,раздел
özel,особенный
akıl,разум
kimse,никто
pek,много
eğer,если
gerek,необходимый
özellikle,особенно
anlam,значение
yüksek,высокий
banka,банк
kez,раз
ayak,ступня
taşımak,нести
geri,назад
toplum,общество
araç,транспортное средство
madde,статья
tür,тип
karar,решение
görülmek,чтобы увидеть
hava,погода
sayı,число
farklı,другой
grup,группа
oda,комната
biçim,формат
oluşmak,состоять из
haber,Новости
Allah,Аллах
ayrıca,Более того
gelen,входящий
birkaç,немного 
soru,вопрос
arka,назад
kazanmak,побеждать
yazı,письмо
okul,школа
açık,открыть 
öğrenmek,учить
sürmek,распространять
dil,язык
şirket,компания 
kaynak,источник
bitmek,в конец
program,программа
devam etmek,продолжать
hareket,движение
renk,цвет
açılmak,открыть
hak,верно
inanmak,верить
çalışma,изучать
açı,угол
parça,кусок
gazete,газета
oluşturmak,создавать
tabi,при условии
değer,ценить
tanımak,узнавать
yapı,состав
doktor,врач
gelir,доход
görev,долг
amaç,цель
bölge,область
film,фильм
üzere,о
müşteri,клиент
zaten,уже
telefon,телефон
eğitim,образование
deniz,море
ikinci,второй
kalkmak,вставать
hatta,даже
etki,эффект
gelişmek,развивать
geçen,последний
vücut,тело
düşünce,мысль
milyon,миллион
oynamak,играть
değişmek,изменение
temel,основа
yaratmak,создавать
ulaşmak,достигать
sanmak,думать
geçirmek,вставить
kültür,культура
kurmak,создавать
fakat,но
buna,этот
resim,картина
ışık,свет
içmek,пить
hanım,женщина
hizmet,услуга
ihtiyaç,нуждаться
nokta,точка
yön,направление
evet,Да
oyun,игра
artmak,увеличивать
yeniden,снова  
işlem,процесс
kısa,короткий
kolay,легкий
hangi,Который
oran,соотношение
aslında,На самом деле
kabul etmek,принять
orada,там
dikkat,внимание
uzak,далеко
bilgisayar,компьютер
gelecek,будущее
görünmek,казаться
örneğin,например
oğul,сын
dinlemek,слушать
uygun,подходящий
lira,лира
üretim,производство
dakika,минута
unutmak,забывать
yürümek,гулять
böylece,так
kötü,плохой
araba,машина 
ağız,рот
duygu,чувство
uygulamak,применять
hâlâ,все еще
örnek,пример
birçok,Много
izlemek,смотреть
derece,степень
mümkün,возможный
şöyle,Так
duvar,стена
on,передний
sanat,искусство
ana,мать
hastalık,болезнь
öğrenci,студент
televizyon,телевидение
yöntem,метод
masa,стол
ölmek,умереть
takım,набор
üst,вершина
kafa,голова
müzik,музыка
ayrılmak,"Покидать, оставлять"
enerji,энергия
üniversite,Университет
spor,спорт
türlü,виды
can,жизнь
rağmen,несмотря на
kısım,часть
ölüm,смерть
sürekli,постоянно
sağlık,здоровье
çeşitli,различный
bundan,из этого
hissetmek,чувствовать
oysa,тогда как
sabah,утро
internet,Интернет
teknik,технический
dışarı,снаружи
merkez,центр
ortam,среда
yerine,на своем месте
düzey,уровень
köy,залив
yönetim,управление
aşağı,вниз
cevap,отвечать
yatmak,лечь
toprak,земля
isim,имя
akşam,вечер
araştırma,исследовать
götürmek,еда на вынос
katılmak,присоединиться
yoksa,или?
kurulmak,быть установлен
ödemek,платить
sanki,будто
kan,кровь
hasta,пациент
şehir,город
inmek,спуститься
sunmak,представлять
bilinmek,быть известным
hafta,неделя
trafik,трафик
hesap,счет
otomobil,машина
yabancı,иностранный
davranış,поведение
mutfak,кухня
kent,город
bazen,Иногда
belli,прозрачный
ayrı,отдельный
fiyat,цена
hakkında,о
kaldırmak,поднять
kol,рука
yalnız,один
hazırlamak,подготовить
cam,сосна
sonunda,окончательно
yavaş,медленный
gerekli,необходимый
önem,важность
koca,муж
YANLIŞ,НЕПРАВИЛЬНЫЙ
varlık,присутствие
art,искусство
ilgi,интерес
sana,тебе
satış,продажи
içeri,внутри
doğal,естественный
sahip olmak,иметь
ekonomik,экономический
acı,угол
hayır,Нет
korumak,защищать
kat,пол
ekonomi,экономика
genel,общий
belirtmek,Отображать
fotoğraf,Фотография
hayvan,животное
savaş,война
mal,товары
saç,волосы
kaybetmek,терять
kalan,остаток
değiştirmek,изменить
dört,четыре
gerçekten,Действительно
sayfa,страница
teknoloji,технологии
kurum,организация
beş,пять
sektör,сектор
geniş,широкий
kağıt,бумага
koku,запах
sağ,Верно
sıcak,горячий
yüzyıl,век
cadde,улица
pazar,Воскресенье
sürdürmek,продолжать
kullanım,использовать
sınıf,сорт
aşk,любовь
doğmak,родиться
ağır,тяжелый
tekrar,снова
güneş,солнце 
sigara,сигарета
ağaç,дерево
kelime,слово
bina,здание
eş,супруг
kaçmak,Сбежать
parti,вечеринка
yatak,кровать 
yazar,писатель
kulak,ухо
öğretmen,учитель
sebep,причина
sol,левый
peki,Хорошо
yağ,масло
yüzden,вот почему
anlaşılmak,Быть понятым
varmak,прибывать
gülmek,смеяться
kural,правило
satmak,продавать
şiir,стих
göndermek,отправлять
başarı,успех
firma,компания
hükümet,правительство
kalp,сердце
kesmek,вырезать
proje,проект
şart,состояние
hız,скорость
köşe,угол
vurmak,ударять
model,модель
balık,рыба
piyasa,рынок
görüş,мнение
bura,здесь
hazırlanmak,подготовить
miktar,количество
birinci,первый
meydan,квадрат 
ölçü,измерение
seçmek,выбирать
uygulanmak,быть реализовано
bahçe,сад
sevgi,любовь
ekmek,хлеб
boyunca,вдоль
koşmak,бежать
dolu,полный
kuruluş,учреждение
saye,благодаря
korkmak,быть испуганным
yardım,помощь
karşılaşmak,столкнуться
malzeme,материал
hoş,приятный
köpek,собака
ünlü,известный
büyümek,расти
dolaşmak,бродить
oldukça,все больше
üstelik,кроме
yaşanmak,быть опытным
beyaz,белый
istek,запрос
öte,вне
denmek,быть вызванным
kardeş,брат
çekilmek,отзывать
nerede,где
çalmak,играть
izin,разрешение
korku,страх
meslek,работа
polis,полиция
yalnızca,Только
açıklamak,объяснить
fikir,идея
hızlı,быстрый
pencere,окно
uğraşmak,стремиться
taş,камень
ateş,огонь    
fark,разница
yetmek,быть достаточным
çoğu,большинство
kimi,ВОЗ
koşul,состояние
mahalle,район
mutlaka,определенно
tane,единица
üretmek,производить
üstüne,над
dayanmak,сопротивляться
ince,тонкий
kaç,сколько?
ortak,партнер
tip,лекарство
görüntü,изображение
beri,с
ders,урок
başkan,министр
karşılık,противоположный
kurtulmak,быть спасенным
numara,число
defa,раз
edilmek,быть
batı,Запад
fark etmek,замечать
herhangi bir,любой
sinema,кино
değişik,странный
hedef,цель
uyumak,спать
dost,друг
yanmak,гореть
anlayış,понимание
asıl,королевский
basmak,Распечатать
kenar,край
kontrol,контроль
çevirmek,повернуть
din,религия
güçlü,сильный
henüz,еще
plan,план
beyin,мозг
elektrik,электрический
karı,жена
üstünde,выше
et,мясо
sağlanmak,быть обеспеченным
söylenmek,ворчать
çizgi,линия
uç,летать
üye,член
cilt,кожа
ruh,душа
sevgili,возлюбленный
yaklaşmak,подход
süreç,период
bakış,вид
bilim,наука
ileri,вперед
ifade,выражение
beden,тело
hatırlamak,запомнить
kaza,несчастный случай
iyice,тщательно
dağ,гора
kapatmak,закрывать
adım,мое имя
ciddi,серьезный
çözüm,решение
etkilemek,влиять
belediye,совет
gelişme,разработка
seçim,голосование
ağlamak,плакать
bağlı,связанный
kavram,концепция
artırmak,увеличивать
faaliyet,активность
zarar,повреждать
derin,глубокий
salon,гостиная
çeşit,Сортировать
kesilmek,быть отрезанным
seyretmek,смотреть
birden,внезапно
içermek,содержать
sayılmak,быть посчитанным
toplamak,коллекционировать
aşmak,превосходить
bağırmak,кричать
sorumluluk,ответственность
davranmak,вести себя
mektup,письмо
soğuk,холодный
canlı,жить
idi,был
makine,машина
yararlanmak,выгода
yaşlı,старый
boş,пустой
acaba,Я думаю?
maç,соответствовать
yönetici,исполнительный
getirilmek,быть принесенным
metre,метр
tutulmak,провести
kalite,качество
bitki,трава
değişiklik,изменять 
ilaç,лекарство
kredi,кредит
yasa,закон
başarılı,успешный
birer,по одному
imkan,средство
ceza,наказание
her şey,все
incelemek,исследовать
top,мяч
uzman,эксперт
doldurmak,заполнить
kanal,канал
mekân,место
uymak,в соответствии с
yıllık,ежегодно
dolayısıyla,поэтому
yazılmak,быть написанным
ait,принадлежащий
parmak,Палец
saymak,считать
atılmak,Торопить
belirlemek,определить
normal,нормальный
hele,особенно
ilke,принцип
kırmızı,красный
rol,роль
şarkı,песня
eleman,Рабочий
hazır,готовый
benzemek,походить
bir şey,Что-нибудь
hoca,учитель
boy,размер
günlük,ежедневно
politika,политика
suç,преступление
niye,Почему
sahne,сцена
sokmak,жало
adet,кусок
koltuk,кресло
kurtarmak,сохранить
sanatçı,художник
tercih etmek,предпочитать
uzanmak,лечь
aşama,этап
eklemek,добавить
orman,лес
ayırmak,разделять
düzen,заказ
faiz,интерес
genellikle,В целом
her zaman,Всегда
hikaye,история
hücre,клетка
ora,там
roman,роман
vergi,налог
yakmak,гореть
ağabey,брат
basın,Нажимать
destek,поддерживать
giymek,носить
hata,ошибка
sınır,граница
birlik,единство
eser,работа
karşılamak,встречаться
yarı,половина
yeterli,достаточный
birey,индивидуальный
karanlık,темнота
otobüs,автобус
sanayi,промышленность
bebek,малыш
vatandaş,гражданин
bakan,министр
kere,раз
millet,люди
reklam,объявление
yükselmek,рост
boyut,измерение
dergi,журнал
enflasyon,инфляция
sosyal,Социальное
birisi,кто-то
geçmiş,прошлое
hastahane,больница
olma,существование
toplantı,встреча
gazeteci,журналист
içerisi,внутри
inanç,вера
nitelik,квалификация
üzeri,выше
bitirmek,заканчивать
gerçekleşmek,сбываться
giriş,вход
rahat,комфортный
toplam,общий
beraber,вместе
dükkan,магазин
gizli,скрытый
benzer,похожий
deri,кожа
dönüşmek,превратиться в
mücadele,борьба
problem,проблема
servis,услуга
tedavi,уход
yeşil,зеленый
bakanlık,министерство
baskı,угнетение
tepki,реакция
cümle,предложение
dilemek,желание
özgürlük,свобода
gene,снова
kimlik,личность
mesele,проблема
üçüncü,третий
belirlenmek,быть определенным
değerlendirmek,оценить
ilginç,интересный
sürücü,Водитель
süt,молоко
yakalamak,захватить
eşya,мебель
uluslararası,Международный
aday,заявитель
ağırlık,масса
milyar,миллиард
sağlıklı,здоровый
sıkıntı,проблема
Tanrı,Бог
tavır,отношение
toplumsal,Социальное
yayın,вещание
dikkat etmek,быть осторожным
son derece,очень сильно
toplanmak,собирать
yatırım,инвестиции
hafif,свет
karışmak,вмешиваться
tehlike,Опасность
vakit,время
daire,квартира
fırsat,возможность
işlemek,ручка
karıştırmak,перепутать
katkı,вклад
öykü,история
tamamen,полностью
uçak,самолет
yanıt,ответ
doğa,природа
evlenmek,жениться
burun,нос
çıkar,интерес
elbette,конечно
işçi,сотрудник
işletme,бизнес
kısaca,кратко
mağaza,торговый центр
medya,СМИ
yüzünden,потому что
artış,увеличивать
çıkarılmak,удалить
kamu,общественный
sigorta,страхование
yaz,Лето
yürek,сердце
belge,документ
çaba,усилие
her gün,каждый день
ifade etmek,выражать 
risk,риск
söz etmek,упомянуть
sözcük,слово
demokrasi,демократия
tuz,соль
cami,мечеть
çağ,возраст
düşük,низкий
etraf,окрестности
hızla,быстро
olanak,возможность
organ,орган
öldürmek,убийство
öteki,другой
sene,год
bozulmak,сломаться
ilgilenmek,заботиться о
meyve,фрукты
takılmak,тусоваться
tatlı,сладкий
bacak,нога
değişim,изменять
kanun,закон
rüzgar,ветер
cumhuriyet,республика
geliştirmek,развивать
tarz,стиль
yedi,Семь
azalmak,снижаться
bağlamak,соединить
cep telefonu,мобильный телефон
iletişim,коммуникация
müdür,менеджер
otel,Гостиница
yayımlanmak,будет опубликован
zevk,удовольствие
binmek,чтобы продолжить
güvenlik,безопасность
hukuk,закон
kılmak,делать
modern,современный
okur,читатель
silah,оружие
talep,запрос
yıldız,звезда
yoğun,занятый
asker,солдат
basit,простой
denilmek,быть вызванным
gaz,газ
uygulama,ПРИЛОЖЕНИЕ
üretilmek,производить
beyan,декларация
besin,еда
dün,Вчера
görüşmek,встречаться 
yaklaşık,примерно
alışveriş,Покупка
bilinç,сознание
çerçeve,рамка
lazım,необходимый
mevcut,доступный
tüketici,потребитель
uzatmak,удлинять
yönelik,направленный на
at,лошадь
bağlanmak,соединять
mesela,например
neredeyse,почти
site,сайт
yardımcı olmak,помощь
abla,старшая сестра
çiçek,цветок
hepsi,все
saygı,уважать
ücret,платеж
yetenek,талант
kilo,килограмм
paylaşmak,делиться
sert,жесткий
yanı sıra,Кроме
çay,чай
gider,расходы
kesin,определенный
zengin,богатый
asla,никогда
laf,слово
örgüt,организация
ticaret,торговля
yaptırmak,это сделано
boyun,шея
cihaz,устройство
denge,баланс
giderek,все больше
sırt,назад
dolayı,потому что
kahve,кофе
kas,бровь
meclis,совет
öteki,другой
uğraşmak,стремиться
adres,адрес
belirtilmek,быть упомянутым
paşa,Паша
sıcaklık,нагревать
tamam,Хорошо
güven,доверять
marka,бренд
yaprak,лист
yarar,выгода
yayılmak,распространение
akmak,поток
çizmek,рисовать
düşünülmek,быть рассмотренным
gönül,сердце
hayal,мечтать
ilerlemek,идти вперед
şarap,вино
yukarıda,выше
altın,золото
düzenlemek,организовывать
satın almak,покупать
sunulmak,быть представленным
temiz,чистый
vitamin,витамин
ek,дополнительный
geç,поздно
hareket etmek,действовать
yumurta,яйцо
aşırı,крайний
eylem,действие
istenmek,быть желанным
kesim,резать
kriz,кризис
birim,единица
kapanmak,крупный план